route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
02/,SERVICE_ID_3,1000,Piscine Comunali,02/032,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1001,Piscine Comunali,02/033,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1002,Piscine Comunali,02/034,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1003,Piscine Comunali,02/035,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1004,Piscine Comunali,02/036,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1005,Piscine Comunali,02/037,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1007,Piscine Comunali,02/039,1,,SHAPEID_356,0,
RI,SERVICE_ID_3,10085,Piscine Comunali,RI01-001,0,,SHAPEID_3620,0,
RI,SERVICE_ID_3,10086,Piscine Comunali,RI01-002,0,,SHAPEID_3620,0,
RI,SERVICE_ID_3,10087,Piscine Comunali,RI01-003,0,,SHAPEID_3620,0,
RI,SERVICE_ID_3,10088,Piscine Comunali,RI01-004,0,,SHAPEID_3620,0,
RI,SERVICE_ID_3,10089,Piscine Comunali,RI01-005,0,,SHAPEID_3620,0,
02/,SERVICE_ID_3,1009,Piscine Comunali,02/040,1,,SHAPEID_356,0,
RI,SERVICE_ID_3,10090,Piscine Comunali,RI01-006,0,,SHAPEID_3620,0,
RI,SERVICE_ID_3,10091,Piscine Comunali,RI01-007,0,,SHAPEID_3620,0,
RI,SERVICE_ID_3,10102,Dep. Amtab,RI51-008,1,,SHAPEID_3627,0,
RI,SERVICE_ID_3,10103,Dep. Amtab,RI51-009,1,,SHAPEID_3627,0,
RI,SERVICE_ID_3,10104,Dep. Amtab,RI51-010,1,,SHAPEID_3627,0,
RI,SERVICE_ID_3,10105,Dep. Amtab,RI51-011,1,,SHAPEID_3627,0,
RI,SERVICE_ID_3,10106,Dep. Amtab,RI51-012,1,,SHAPEID_3627,0,
RI,SERVICE_ID_3,10107,Dep. Amtab,RI51-013,1,,SHAPEID_3627,0,
02/,SERVICE_ID_3,1011,Piscine Comunali,02/041,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1013,Piscine Comunali,02/042,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1015,Piscine Comunali,02/043,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1017,Piscine Comunali,02/044,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1019,Piscine Comunali,02/045,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1021,Piscine Comunali,02/046,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1023,Piscine Comunali,02/047,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1025,Piscine Comunali,02/048,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1027,Piscine Comunali,02/049,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1029,Piscine Comunali,02/050,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1030,Piscine Comunali,02/051,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1032,Piscine Comunali,02/052,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1034,Piscine Comunali,02/053,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1036,Piscine Comunali,02/054,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1038,Piscine Comunali,02/055,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1040,Piscine Comunali,02/056,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1042,Piscine Comunali,02/057,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1044,Piscine Comunali,02/058,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1046,Piscine Comunali,02/059,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1048,Piscine Comunali,02/060,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1049,Piscine Comunali,02/061,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1050,Piscine Comunali,02/062,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1051,Piscine Comunali,02/063,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1052,Piscine Comunali,02/064,1,,SHAPEID_356,0,
02/,SERVICE_ID_3,1053,Piscine Comunali,02/065,1,,SHAPEID_356,0,
03,SERVICE_ID_3,1054,Bari Centrale (B),03-001,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1055,Bari Centrale (B),03-002,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1056,Bari Centrale (B),03-003,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1057,Bari Centrale (B),03-004,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1058,Bari Centrale (B),03-005,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1059,Bari Centrale (B),03-006,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1060,Bari Centrale (B),03-007,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1061,Bari Centrale (B),03-008,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1062,Bari Centrale (B),03-009,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1063,Bari Centrale (B),03-010,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1064,Bari Centrale (B),03-011,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1066,Bari Centrale (B),03-013,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1067,Bari Centrale (B),03-014,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1068,Bari Centrale (B),03-015,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1069,Bari Centrale (B),03-016,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1070,Bari Centrale (B),03-017,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1071,Bari Centrale (B),03-018,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1072,Bari Centrale (B),03-019,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1073,Bari Centrale (B),03-020,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1074,Bari Centrale (B),03-021,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1075,Bari Centrale (B),03-022,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1076,Bari Centrale (B),03-023,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1077,Bari Centrale (B),03-024,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1078,Bari Centrale (B),03-025,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1079,Bari Centrale (B),03-026,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1080,Bari Centrale (B),03-027,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1081,Bari Centrale (B),03-028,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1082,Bari Centrale (B),03-029,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1083,Bari Centrale (B),03-030,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1084,Bari Centrale (B),03-031,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1085,Bari Centrale (B),03-032,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1086,Bari Centrale (B),03-033,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1087,Bari Centrale (B),03-034,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1088,Bari Centrale (B),03-035,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1090,Bari Centrale (B),03-037,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1091,Bari Centrale (B),03-038,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1092,Bari Centrale (B),03-039,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1093,Bari Centrale (B),03-040,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1094,Bari Centrale (B),03-041,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1095,Bari Centrale (B),03-042,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1096,Bari Centrale (B),03-043,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1097,Bari Centrale (B),03-044,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1098,Bari Centrale (B),03-045,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1099,Bari Centrale (B),03-046,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1100,Bari Centrale (B),03-047,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1101,Bari Centrale (B),03-048,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1102,Bari Centrale (B),03-049,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1103,Bari Centrale (B),03-050,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1104,Bari Centrale (B),03-051,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1105,Bari Centrale (B),03-052,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1106,Bari Centrale (B),03-053,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1107,Bari Centrale (B),03-054,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1108,Bari Centrale (B),03-055,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1109,Bari Centrale (B),03-056,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1110,Bari Centrale (B),03-057,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1111,Bari Centrale (B),03-058,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1112,Bari Centrale (B),03-059,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1113,Bari Centrale (B),03-060,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1114,Bari Centrale (B),03-061,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1115,Bari Centrale (B),03-062,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1116,Bari Centrale (B),03-063,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1117,Bari Centrale (B),03-064,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1118,Bari Centrale (B),03-065,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1119,Bari Centrale (B),03-066,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1120,Bari Centrale (B),03-067,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1121,Bari Centrale (B),03-068,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1122,Bari Centrale (B),03-069,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1123,Bari Centrale (B),03-070,0,,SHAPEID_389,0,
03,SERVICE_ID_3,1124,Ospedale S. Paolo,03-071,1,,SHAPEID_457,0,
03,SERVICE_ID_3,1126,Ospedale S. Paolo,03-072,1,,SHAPEID_457,0,
03,SERVICE_ID_3,1128,Ospedale S. Paolo,03-073,1,,SHAPEID_457,0,
03,SERVICE_ID_3,1130,Ospedale S. Paolo,03-074,1,,SHAPEID_457,0,
03,SERVICE_ID_3,1132,Ospedale S. Paolo,03-075,1,,SHAPEID_457,0,
