route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
02/,FER,1000,Piscine Comunali,02/032,1,,SHAPEID_148,0,
02/,FER,1001,Piscine Comunali,02/033,1,,SHAPEID_148,0,
02/,FER,1002,Piscine Comunali,02/034,1,,SHAPEID_148,0,
02/,FER,1003,Piscine Comunali,02/035,1,,SHAPEID_148,0,
02/,FER,1004,Piscine Comunali,02/036,1,,SHAPEID_148,0,
02/,FER,1005,Piscine Comunali,02/037,1,,SHAPEID_148,0,
02/,FER,1006,Piscine Comunali,02/038,1,,SHAPEID_148,0,
02/,FER,1007,Piscine Comunali,02/039,1,,SHAPEID_148,0,
02/,FER,1009,Piscine Comunali,02/040,1,,SHAPEID_148,0,
02/,FER,1011,Piscine Comunali,02/041,1,,SHAPEID_148,0,
C,FEST,10117,P&R 2 GIUGNO,C-156,0,,SHAPEID_78,0,
C,FEST,10118,P&R 2 GIUGNO,C-157,0,,SHAPEID_78,0,
C,FEST,10119,P&R 2 GIUGNO,C-158,0,,SHAPEID_78,0,
C,FEST,10120,P&R 2 GIUGNO,C-159,0,,SHAPEID_78,0,
C,FEST,10121,P&R 2 GIUGNO,C-160,0,,SHAPEID_78,0,
C,FEST,10122,P&R 2 GIUGNO,C-161,0,,SHAPEID_78,0,
C,FEST,10123,P&R 2 GIUGNO,C-162,0,,SHAPEID_78,0,
C,FEST,10124,P&R 2 GIUGNO,C-163,0,,SHAPEID_78,0,
C,FEST,10125,P&R 2 GIUGNO,C-164,0,,SHAPEID_78,0,
C,FEST,10126,P&R 2 GIUGNO,C-165,0,,SHAPEID_78,0,
C,FEST,10127,P&R 2 GIUGNO,C-166,0,,SHAPEID_78,0,
C,FEST,10128,P&R 2 GIUGNO,C-167,0,,SHAPEID_78,0,
C,FEST,10129,P&R 2 GIUGNO,C-168,0,,SHAPEID_78,0,
02/,FER,1013,Piscine Comunali,02/042,1,,SHAPEID_148,0,
C,FEST,10130,P&R 2 GIUGNO,C-169,0,,SHAPEID_78,0,
C,FEST,10131,P&R 2 GIUGNO,C-170,0,,SHAPEID_78,0,
C,FEST,10132,P&R 2 GIUGNO,C-171,0,,SHAPEID_78,0,
C,FEST,10133,P&R 2 GIUGNO,C-172,0,,SHAPEID_78,0,
C,FEST,10134,P&R 2 GIUGNO,C-173,0,,SHAPEID_78,0,
